avg_hhi,avg_lambda,best_individual_idx,best_individual_linex,best_individual_mse,best_individual_objective,diag_aux,diag_main,horizon,horizon_name,linex,loss_section,mae,method,mse,n_forecasters,n_obs,objective_value,origin_end,origin_start,series_id
0.08671622728002293,1.2062387094548594,6.0,0.002188750567930096,1.703537217073902,0.002188750567930096,0.5882352941176471,1.8264705882352938,0.0,CPI2,0.0035303481448683265,linex,1.2220096920392811,RLKappaBandit,2.70398061871077,12.0,34.0,0.0035303481448683265,2022Q3,2014Q2,CPI2
0.08333333333333336,nan,4.0,0.008852429318794864,6.868594019553889,6.868594019553889,,,0.0,CPI3,0.010706671291303793,mse,2.0575700882685326,Mean,8.12672489093093,12.0,34.0,8.12672489093093,2022Q3,2014Q2,CPI3
nan,nan,4.0,0.008852429318794864,6.868594019553889,6.868594019553889,,,0.0,CPI3,0.010430541004815708,mse,2.052153666699905,Median,7.937851100033702,12.0,34.0,7.937851100033702,2022Q3,2014Q2,CPI3
0.38614816326509344,nan,4.0,0.008852429318794864,6.868594019553889,6.868594019553889,,,0.0,CPI3,0.009652390667654736,mse,2.0452879247982994,OGDVanilla,7.380523029633864,12.0,34.0,7.380523029633864,2022Q3,2014Q2,CPI3
0.6115312625706115,nan,4.0,0.008852429318794864,6.868594019553889,6.868594019553889,,,0.0,CPI3,0.010455721447936932,mse,2.0678013477558763,MWUMVanilla,7.963876560383244,12.0,34.0,7.963876560383244,2022Q3,2014Q2,CPI3
0.3335050397630728,0.5153577941583372,4.0,0.008852429318794864,6.868594019553889,6.868594019553889,,,0.0,CPI3,0.009778102416861546,mse,2.049892528237512,OGDBoth,7.476726551033194,12.0,34.0,7.476726551033194,2022Q3,2014Q2,CPI3
0.725781037668658,0.5153577941583372,4.0,0.008852429318794864,6.868594019553889,6.868594019553889,,,0.0,CPI3,0.009466093057512089,mse,1.9987886261044514,OGDConcOnly,7.1990118072885085,12.0,34.0,7.1990118072885085,2022Q3,2014Q2,CPI3
0.28817515922512477,0.5153577941583372,4.0,0.008852429318794864,6.868594019553889,6.868594019553889,,,0.0,CPI3,0.01028600921593944,mse,2.0602708632304414,MWUMBothKL,7.891724252569266,12.0,34.0,7.891724252569266,2022Q3,2014Q2,CPI3
0.40658596911373535,0.5153577941583372,4.0,0.008852429318794864,6.868594019553889,6.868594019553889,,,0.0,CPI3,0.007517810538085123,mse,1.8612367063394268,MWUMConcOnlyKL,5.889891412042773,12.0,34.0,5.889891412042773,2022Q3,2014Q2,CPI3
0.2538457168907102,nan,4.0,0.008852429318794864,6.868594019553889,6.868594019553889,0.29411764705882354,3.0,0.0,CPI3,0.020067844849269732,mse,2.438124660852408,RLRuleBandit,13.914511114150564,12.0,34.0,13.914511114150564,2022Q3,2014Q2,CPI3
