Date,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
2013:02,1.6,2.1,2.2086,2.1,2.1724,2.2699859141304897,2.4288425904356736,2.442972957166294,2.435781895761509,2.440804176526542,1.4356787504863355,2.053176660469247,2.3025114274546565,0.7530265825283156,2.481450062866084,2.2699859141304897,2.4888042214866193,2.4560431936098475,2.713089728747806,2.4427678159736472,,,,,,-0.027571153516681157,-0.027571153516681157,0.40060328231330544,-0.1417783055817301,-0.4372220075372857
2013:03,2.0,2.0,2.1,2.2,2.2348,1.9737034563427782,2.4204113607773237,2.4383116537842984,2.4435675371067584,2.437047411341623,-0.027571153516681157,1.4356787504863355,2.053176660469247,2.3025114274546565,0.7530265825283156,1.9737034563427782,2.5822401381460875,2.4782326262532313,2.4708556904363683,2.377162482793593,,,,,,2.628570522309226,2.1628958373694385,2.1628958373694385,2.271756069521924,2.1809875434386727
2013:04,1.6462,1.7,2.0,2.1,2.2637,2.473622476828334,2.341084159994597,2.447533044474805,2.439939070351838,2.4436697898995705,2.628570522309226,-0.027571153516681157,1.4356787504863355,2.053176660469247,2.3025114274546565,2.473622476828334,2.7476963779018995,2.550063206742793,2.502080507907986,2.4368613603734275,,,,,,1.1361168107955733,1.1361168107955733,1.4197331909667987,1.8513762893701102,1.4872923429276153
2014:01,1.7,1.8,1.751,2.0,2.1,2.1824675754966227,2.4460899744915734,2.4085254700231014,2.452423079658235,2.440218769049248,1.1361168107955733,2.628570522309226,-0.027571153516681157,1.4356787504863355,2.053176660469247,2.1824675754966227,2.414616192053218,2.668591735462731,2.6148590627668002,2.4258252081963687,,,,,,1.911591824957215,1.911591824957215,2.0860362035976854,2.3526751312644034,2.5145143058982855
2014:02,1.8787,1.6554,1.9953,1.9,2.1657,2.335349030151438,2.375460704044975,2.441197762508059,2.4209058978821307,2.4533047522107916,1.911591824957215,1.1361168107955733,2.628570522309226,-0.027571153516681157,1.4356787504863355,2.335349030151438,2.5910023096590526,2.419812057916108,2.816480557495208,2.4037161726416576,,,,,,3.030983283069699,3.030983283069699,2.436884457442834,1.9147101638148367,2.1412981418393207
2014:03,2.2,1.9233,1.9345,2.0008,2.1,2.540876931957461,2.4133628120638617,2.411057130141651,2.440328472176258,2.423178614617732,3.030983283069699,1.911591824957215,1.1361168107955733,2.628570522309226,-0.027571153516681157,2.540876931957461,2.4978559668969904,2.540141942032306,2.4084784708180127,2.3092268405176077,,,,,,1.0958492335317649,1.0958492335317649,1.1834784677500654,1.0367631003855182,1.0272698233732225
2014:04,1.04,2.0361,1.9,1.9628,2.14,2.155393377005462,2.450028271231001,2.4277251641222524,2.417622677632315,2.440174009188246,1.0958492335317649,3.030983283069699,1.911591824957215,1.1361168107955733,2.628570522309226,2.155393377005462,2.348959274235558,2.4758422996795124,2.6323506946151563,2.4467572647415894,,,,,,-1.1991087490891505,-0.8543546416556413,-0.3120236242676655,-0.7013546345446264,-0.9900775440329301
2015:01,-1.3846,1.8,2.1,2.01,2.0,1.748004043876965,2.347773346432631,2.433188091263814,2.4303692758624154,2.418833653524532,-1.1991087490891505,1.0958492335317649,3.030983283069699,1.911591824957215,1.1361168107955733,1.748004043876965,2.5684169123445484,2.376205901378072,2.5176786115093246,2.351926393641271,,,,,,-3.0586221566305416,-3.0586221566305416,-2.8634013364184696,-2.5207089610711497,-2.5640942058119287
2015:02,1.9,1.62,1.9,2.16,2.0,0.9294590496002051,2.8251274732414235,2.3827035122636286,2.4300665079728825,2.430856057335676,-3.0586221566305416,-1.1991087490891505,1.0958492335317649,3.030983283069699,1.911591824957215,0.9294590496002051,2.82301478492281,2.5062813470441614,2.3307166329942914,2.4011884325996564,,,,,,2.978262071584359,2.978262071584359,2.439351480788843,2.353475615548728,2.755824485788616
2015:03,2.0,1.95,1.9,1.965,2.1,2.3649537445895943,1.8789295061904132,2.54599962595773,2.389045734318316,2.429487875068649,2.978262071584359,-3.0586221566305416,-1.1991087490891505,1.0958492335317649,3.030983283069699,2.3649537445895943,2.827005307046166,2.596966627852825,2.6157801570068036,2.4607447684548944,,,,,,1.5833183106326087,1.5833183106326087,1.4962661988325632,1.5362041043044838,1.519384561490833
